nome_fazenda;cd_area
FAZENDA SANTA LUZIA OU ARROZAL (GLEBA 03);3237dc6b-98d6-4ba2-9850-37e851c0c9e3
FAZENDA MORRO DO GABRIEL OU ALTO DO MORRO DO GABRIEL;3d5f4cf2-b865-4f3e-bfda-8ce0ed957ce4
FAZENDA SANTANA;841d0508-343c-4726-a3d3-cc808f4182f8
FAZENDA SANTA LUZIA OU ARROZAL;937dd5b8-0c8b-48c7-92d6-b96a4ac1c2a3
FAZ. LINHARES I;99aabfe1-c503-444f-997d-9be4d1baee94
FAZENDA LAGOINHA;a4ac46c1-b405-4b34-aefc-1d3413504bae
FAZENDA HORTO ALEGRIA;a9be8312-9d15-4362-a097-a67bd2ecd9e2
FAZENDA RECOSTA;adecb162-fecd-4587-a459-4ec10d7ea76d
FAZENDA ALEGRIA  ÁGUA BOA E VEREDAS, GLEBA 1B /  GLEBA 1F;d6b89bd8-21ca-4126-924c-d9185e7d66e3
FAZENDA VIANA;dabace77-217d-449e-9a2d-46160c9e439f
FAZENDA SÃO JUDAS TADEU  GLEBA B;e1abb97d-2c76-4d32-b754-ac37d01a0e05
